blockheight,time
499968,1513605320
501984,1514778970
504000,1515827554
506016,1516862900
508032,1517958487
510048,1519114859
512064,1520223678
514080,1521373218
516096,1522566357
518112,1523672932
520128,1524828253
522144,1526003655
524160,1527168053
526176,1528222686
528192,1529400045
530208,1530545661
532224,1531799449
534240,1532852371
536256,1533980459
538272,1535129431
540288,1536290079
542304,1537478139
544320,1538639362
546336,1539895067
548352,1541105656
550368,1542412284
552384,1543838368
554400,1545175965
556416,1546276809
558432,1547432394
560448,1548657313
562464,1549817981
564480,1551026038
566496,1552236304
568512,1553387093
570528,1554594223
572544,1555811668
574560,1556958733
576576,1558168296
578592,1559256184
580608,1560474230
582624,1561604370
584640,1562663868
586656,1563880937
588672,1564973528
590688,1566161382
592704,1567305301
594720,1568401591
596736,1569530001
598752,1570716535
600768,1571866973
602784,1573169436
604800,1574356132
606816,1575576145
608832,1576779421
610848,1577915667
612864,1579045357
614880,1580201043
616896,1581405024
618912,1582619322
620928,1583751917
622944,1585191106
624960,1586336046
626976,1587452724
628992,1588651521
631008,1589940416
633024,1591273852
635040,1592326267
637056,1593537529
639072,1594641060
641088,1595886756
643104,1597089619
645120,1598258059
647136,1599482920
649152,1600570533
651168,1601781592
653184,1602950620
655200,1604392090
657216,1605546119
659232,1606657305
661248,1607899483
663264,1609113744
665280,1610205877
667296,1611403017
669312,1612578303
671328,1613772036
673344,1614997708
675360,1616184405
677376,1617328801
679392,1618515703
681408,1619900822
683424,1620896338
685440,1622337521
687456,1623614836
689472,1625294046
691488,1626564737
693504,1627706126
695520,1628834027
697536,1629902476
699552,1631061045
701568,1632234876
703584,1633390519
705600,1634588757
707616,1635710370
709632,1636866927
711648,1638095408
713664,1639216857
715680,1640422999
717696,1641627937
719712,1642734490
721728,1643942057
723744,1645096491
725760,1646324511
727776,1647538808
729792,1648700729
731808,1649925939
733824,1651072835
735840,1652226078
737856,1653490985
739872,1654686448
741888,1655925489
